id,country,date,title,video_link,tags
jp-shugiintv-55237,jp,2024-05-16,"安全保障委員会 (3時間08分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0516-1330-13/playlist.m3u8,committee-Q11450363
jp-shugiintv-55236,jp,2024-05-16,"地域・こども・デジタル特別委員会 (5時間30分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0516-0900-01/playlist.m3u8,
jp-shugiintv-55235,jp,2024-05-16,"憲法審査会 (1時間36分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0516-1000-18/playlist.m3u8,
jp-shugiintv-55234,jp,2024-05-15,"国土交通委員会 (2時間57分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0515-0900-18/playlist.m3u8,committee-Q11420650
jp-shugiintv-55233,jp,2024-05-15,"農林水産委員会 (3時間06分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0515-0900-17/playlist.m3u8,committee-Q11637970
jp-shugiintv-55232,jp,2024-05-15,"厚生労働委員会 (3時間16分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0515-0900-16/playlist.m3u8,committee-Q11409293
jp-shugiintv-55231,jp,2024-05-15,"文部科学委員会 (5時間10分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0515-0900-15/playlist.m3u8,committee-Q11500128
jp-shugiintv-55230,jp,2024-05-15,"法務委員会 (1時間06分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0515-1000-14/playlist.m3u8,committee-Q11555045
jp-shugiintv-55229,jp,2024-05-15,"経済産業委員会 (4時間49分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0515-0900-12/playlist.m3u8,committee-Q11606457
jp-shugiintv-55228,jp,2024-05-15,"外務委員会 (3時間19分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0515-0900-11/playlist.m3u8,committee-Q11430336
jp-shugiintv-55227,jp,2024-05-14,"総務委員会 (3時間10分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0514-0900-17/playlist.m3u8,committee-Q11607536
jp-shugiintv-55226,jp,2024-05-14,"財務金融委員会 (2時間40分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0514-0900-15/playlist.m3u8,committee-Q11634596
jp-shugiintv-55225,jp,2024-05-14,"法務委員会 (3時間12分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0514-0900-14/playlist.m3u8,committee-Q11555045
jp-shugiintv-55224,jp,2024-05-14,"政治倫理審査会 (13分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0514-1340-05/playlist.m3u8,
jp-shugiintv-55223,jp,2024-05-14,"地域・こども・デジタル特別委員会 (3時間09分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0514-0900-01/playlist.m3u8,
jp-shugiintv-55222,jp,2024-05-14,"本会議 (12分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0514-1300-00/playlist.m3u8,
jp-shugiintv-55220,jp,2024-05-13,"決算行政監視委員会第四分科会 (5時間40分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0513-0900-18/playlist.m3u8,committee-Q11552361
jp-shugiintv-55219,jp,2024-05-13,"決算行政監視委員会第三分科会 (6時間48分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0513-0900-17/playlist.m3u8,committee-Q11552361
jp-shugiintv-55218,jp,2024-05-13,"決算行政監視委員会第二分科会 (6時間10分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0513-0900-16/playlist.m3u8,committee-Q11552361
jp-shugiintv-55217,jp,2024-05-13,"決算行政監視委員会第一分科会 (7時間17分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0513-0900-15/playlist.m3u8,committee-Q11552361
jp-shugiintv-55216,jp,2024-05-10,"国土交通委員会 (3時間17分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0510-0900-18/playlist.m3u8,committee-Q11420650
jp-shugiintv-55215,jp,2024-05-10,"内閣委員会 (3時間20分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0510-0900-17/playlist.m3u8,committee-Q11394651
jp-shugiintv-55214,jp,2024-05-10,"財務金融委員会 (3時間14分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0510-0900-15/playlist.m3u8,committee-Q11634596
jp-shugiintv-55213,jp,2024-05-10,"環境委員会 (3時間12分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0510-0900-13/playlist.m3u8,committee-Q11574049
jp-shugiintv-55212,jp,2024-05-10,"外務委員会 (4時間51分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0510-0900-11/playlist.m3u8,committee-Q11430336
